,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,COVERAGE
0,AMI,0.05,0.9,0.855944055944056,0.9830548475408288,0.925392670157068
1,AMI,0.05,0.95,0.8557422969187675,0.9832404872061185,0.9251150245914643
2,AMI,0.1,0.9,0.8403863845446182,0.983812867630295,0.9560923369823894
3,AMI,0.1,0.95,0.8477958236658932,0.9836126113650002,0.9447088687926384
4,AMI,0.15,0.9,0.8396139705882353,0.9838973056336751,0.9607329842931938
5,AMI,0.15,0.95,0.8394833948339483,0.9845789928581177,0.9579168649849278
6,AMI,0.2,0.9,0.839096357768557,0.9846411743385285,0.9614865936855466
7,AMI,0.2,0.95,0.839096357768557,0.9846118928733545,0.9598207202919244
8,AMI,0.25,0.9,0.8387096774193549,0.9847118246595111,0.9655719498651436
9,AMI,0.25,0.95,0.839096357768557,0.9846578566256337,0.962438521339045
10,CAP,0.05,0.9,0.8394428152492669,0.9733901918976546,0.906063962342517
11,CAP,0.05,0.95,0.8388520971302428,0.9738054607508533,0.905371729198394
12,CAP,0.1,0.9,0.8131462333825702,0.9752379416034844,0.9519590197978679
13,CAP,0.1,0.95,0.8131462333825702,0.9752379416034844,0.9519590197978679
14,CAP,0.15,0.9,0.8125461254612546,0.9753453260520398,0.9557663020905441
15,CAP,0.15,0.95,0.8125461254612546,0.9753096348721249,0.9545202824311229
16,CAP,0.2,0.9,0.8125461254612546,0.9753730145997113,0.9567354284923162
17,CAP,0.2,0.95,0.8125461254612546,0.9753453260520398,0.9557663020905441
18,CAP,0.25,0.9,0.8113485630066323,0.9754890219560878,0.9609580506714661
19,CAP,0.25,0.95,0.8104089219330854,0.9754925516578568,0.9574276616364391
20,CIP,0.05,0.9,,1.0,0.002976190476190476
21,CIP,0.05,0.95,,1.0,0.002976190476190476
22,CIP,0.1,0.9,,1.0,0.002976190476190476
23,CIP,0.1,0.95,,1.0,0.002976190476190476
24,CIP,0.15,0.9,,1.0,0.002976190476190476
25,CIP,0.15,0.95,,1.0,0.002976190476190476
26,CIP,0.2,0.9,0.7272727272727273,0.9534883720930233,0.05357142857142857
27,CIP,0.2,0.95,0.7272727272727273,0.9534883720930233,0.05357142857142857
28,CIP,0.25,0.9,0.7272727272727273,0.9534883720930233,0.05357142857142857
29,CIP,0.25,0.95,0.0,1.0,0.04365079365079365
30,DLM,0.05,0.9,0.16595744680851063,0.9989407480966568,0.9916607408365117
31,DLM,0.05,0.95,0.15151515151515152,0.9996025173898642,0.9907557049583037
32,DLM,0.1,0.9,0.11711711711711711,0.9996025173898642,0.9901738961794557
33,DLM,0.1,0.95,0.10909090909090909,0.9998012191889742,0.9898506690800957
34,DLM,0.15,0.9,0.10909090909090909,0.9998012191889742,0.9898506690800957
35,DLM,0.15,0.95,0.10909090909090909,0.9998012191889742,0.9898506690800957
36,DLM,0.2,0.9,0.10909090909090909,0.9998013902681231,0.9906910595384317
37,DLM,0.2,0.95,0.10909090909090909,0.9998012191889742,0.9898506690800957
38,DLM,0.25,0.9,0.10909090909090909,0.9998013902681231,0.9906910595384317
39,DLM,0.25,0.95,0.06666666666666667,0.9998013902681231,0.9900446053397117
40,EMB,0.05,0.9,0.9515633724176438,0.8631392788825929,0.8475972873775552
41,EMB,0.05,0.95,0.9514821029082774,0.86410608469432,0.8465521013101286
42,EMB,0.1,0.9,0.9510716300056402,0.8683241916859122,0.8459687416445881
43,EMB,0.1,0.95,0.9510094592686714,0.8685437524849098,0.8446561823971221
44,EMB,0.15,0.9,0.9496319815269159,0.8798698951933502,0.8409858778347634
45,EMB,0.15,0.95,0.9491772244065823,0.8796474300845152,0.8370238934396345
46,EMB,0.2,0.9,0.9444362346682429,0.8967708128643479,0.9066624535135267
47,EMB,0.2,0.95,0.947108181000899,0.8886947023484435,0.8298048175785713
48,EMB,0.25,0.9,0.9381548311990687,0.8981720707918873,0.9196665127245327
49,EMB,0.25,0.95,0.9394960445355992,0.8985045513654096,0.9135898495418195
50,ETH,0.05,0.9,0.899749373433584,0.8611565739225314,0.9005920078934386
51,ETH,0.05,0.95,0.8974358974358975,0.8674268443467509,0.8913665515540207
52,ETH,0.1,0.9,0.8863430810973771,0.893106960950764,0.8900838677849038
53,ETH,0.1,0.95,0.8846389228886169,0.9015561801604168,0.8808584114454859
54,ETH,0.15,0.9,0.8783655369021223,0.9159559834938101,0.8730636408485446
55,ETH,0.15,0.95,0.8768233387358185,0.9202752484882185,0.8619634928465713
56,ETH,0.2,0.9,0.8638826904686006,0.9282800815771584,0.8804637395165269
57,ETH,0.2,0.95,0.8593544137022397,0.9329731208535668,0.8710902812037494
58,ETH,0.25,0.9,0.8587028457974851,0.9347870667851528,0.8707942772570301
59,ETH,0.25,0.95,0.851581508515815,0.9397797660013765,0.858756783423779
60,INH,0.05,0.9,0.9486949200112265,0.980377421509686,0.9398937845987668
61,INH,0.05,0.95,0.9486228218100056,0.9811967240514792,0.938881137764976
62,INH,0.1,0.9,0.947072200113701,0.9825180433039294,0.9570637742472659
63,INH,0.1,0.95,0.947072200113701,0.9825180433039294,0.9570637742472659
64,INH,0.15,0.9,0.9469167377095766,0.9825822946628315,0.9592465907556595
65,INH,0.15,0.95,0.9468637634838194,0.9831882197167275,0.9551284936315766
66,INH,0.2,0.9,0.946350094172707,0.9843476182889915,0.9592915972816058
67,INH,0.2,0.95,0.9464469618949537,0.9846504377023624,0.9562761600432063
68,INH,0.25,0.9,0.9461283312364177,0.9847467725918571,0.960011701696746
69,INH,0.25,0.95,0.9459117325507796,0.9848255536084116,0.9560961339394212
70,KAN,0.05,0.9,0.8475018642803878,0.9323673870333988,0.9532122616141977
71,KAN,0.05,0.95,0.8440122044241037,0.9701538304287831,0.9179249575973193
72,KAN,0.1,0.9,0.8266416510318949,0.9716537746009988,0.9552393165928929
73,KAN,0.1,0.95,0.8265114532482163,0.9717489228358793,0.9550738427170811
74,KAN,0.15,0.9,0.8251510574018127,0.9747156733538341,0.9570595292268234
75,KAN,0.15,0.95,0.8251510574018127,0.9746165531435291,0.9537500517105862
76,KAN,0.2,0.9,0.8248865355521936,0.9750329155897987,0.9577214247300707
77,KAN,0.2,0.95,0.8248865355521936,0.9750012206435232,0.9566458445372936
78,KAN,0.25,0.9,0.8239516433698527,0.9751432177881347,0.9616100608116493
79,KAN,0.25,0.95,0.8246876183263915,0.975095038502778,0.9580523724816945
80,LEV,0.05,0.9,0.9246954595791805,0.9626967830253251,0.8705405732252993
81,LEV,0.05,0.95,0.9245841035120148,0.9635211508820003,0.8696940379731527
82,LEV,0.1,0.9,0.9213859910581222,0.9659585145533623,0.8852340065304148
83,LEV,0.1,0.95,0.9212980231256994,0.9666052895882156,0.8845688716894425
84,LEV,0.15,0.9,0.9210624766180322,0.9688309517840729,0.8852340065304148
85,LEV,0.15,0.95,0.920706501315295,0.9701567608349401,0.882210666344177
86,LEV,0.2,0.9,0.9205572289156626,0.970970970970971,0.8854758737453138
87,LEV,0.2,0.95,0.920196671709531,0.9710217755443886,0.8818478655218285
88,LEV,0.25,0.9,0.9184597961494904,0.9712934539118891,0.8889829483613496
89,LEV,0.25,0.95,0.9183673469387755,0.9713740458015268,0.8887410811464506
90,LZD,0.05,0.9,0.3035230352303523,0.9977276095440399,0.9912951474053768
91,LZD,0.05,0.95,0.3035230352303523,0.9977276095440399,0.9912951474053768
92,LZD,0.1,0.9,0.3016304347826087,0.9977276095440399,0.9912470542971192
93,LZD,0.1,0.95,0.3016304347826087,0.9977276095440399,0.9912470542971192
